	优视	UC影音	UC影音	uc.ucplayer	/ucplayer
电子书		Viva畅读	Viva	viva.reader	/viva2
		xScope	xScope	sui.mRelease	/xScope
		Yahoo mail	Yahoo mail	com.yahoo.mobile.client.android.mail	/Yahoo!/YMail
		Yahoo Messenger	Yahoo Messenger	com.yahoo.mobile.client.android.im	/Yahoo!/Messenger
		YiBo微博客户端	YiBo	net.dev123.yibo	/.yibo
		ZAKER	ZAKER	com.myzaker.ZAKER_Phone	ZAKER
数据包	Gameloft	阿凡达	Avatar	com.gameloft.android.GAND.GloftAVHP	/gameloft/games/Avatar
		爱酷天气	icmweather	com.icoolme.android.weather	/.icmweather
		爱米软件市场	爱米软件市场	com.aimi.appstore	/.aimi
		安智市场	GoMarket	cn.goapk.market	/gomarket
		傲游浏览器	Maxthon Browser	com.mx.browser	/MxBrowser
		奥秘传说	Legends Arcana	com.littlekillerz.legendsarcana	/legendsarcana
相片	百度	百度壁纸	百度壁纸	com.baidu.wallpaper	baidu_wallpaper
数据包	百度	百度地图	百度地图	com.baidu.BaiduMap	BaiduMap
相片	百度	百度魔图	PhotoWonder	cn.jingling.motu.photowonder	/photowonder
	百度	百度身边	百度身边	com.baidu.shenbian	BaiduShenBian
	百度	百度输入法	百度输入法	com.baidu.input	/baidu/ime
浏览器下载	百度	百度搜索	百度搜索	com.baidu.searchbox	baidu/SearchBox/downloads
音乐	百度	百度音乐	百度音乐	com.ting.mp3.android	Baidu_music
应用	百度	百度应用	百度应用	com.baidu.appsearch	baidu/AppSearch/downloads
	百度	百度云	百度云	com.baidu.netdisk	BaiduNetdisk
电子书		百阅	百阅	com.byread.reader	/byread
		布丁爱生活	布丁爱生活	iw.avatar	/.budingdoyen
		布丁优惠券	布丁优惠券	cn.buding.coupon	.budingcoupon
		超级短信	Handcent SMS	com.handcent.nextsms	/handcent
		纯粹图片	JustPictures	com.justpictures	/JustPictures
		大牛新闻	Nubi News	com.nubinews.chinareader	/NubiNews
		大众点评	大众点评	com.dianping.v1	groupurchase
数据包	Gameloft	地牢猎手	Dungeon Hunter	com.gameloft.android.GAND.GloftDUNQ.DungeonHunter	/gameloft/games/DungeonHunter
数据包		地牢守护者	Dungeon Defenders	com.trendy.ddapp	/DunDef
	点心	点心桌面极速版	点心桌面极速版	com.dianxinos.dxlauncher	.dxlauncher
数据包	Gameloft	都市赛车5	asphalt5	com.gameloft.android.GAND.GloftAsphalt5.asphalt5	/gameloft/games/asphalt5
数据包	Gameloft	都市赛车6	Asphalt6	com.gameloft.android.ANMP.GloftA6HP	/gameloft/games/asphalt6
		豆果美食	豆果美食	com.douguo.recipe	/Douguo
		短信传情	Qsms	info.laozhang.Qsms	/Qsms
电子书		多看	多看	com.duokan.reader	DuoKan
音乐		多米音乐	多米音乐	com.duomi.android	/DUOMI
数据包	Gameloft	俄勒冈小道	Oregon Trail	com.gameloft.android.ANMP.GloftOTHP.ML	/gameloft/games/GloftOTHP
		凡客	vancl	com.vancl.activity	/vancl
		凤凰新闻	凤凰新闻	com.ifeng.news2	ifeng/news
		凤凰周刊	凤凰周刊	youcan.reader	/ifeng_android
数据包	高德	高德地图	高德地图	com.autonavi.minimap	/autonavi
		果库	果库	com.guoku	Guoku_Android
		海豚浏览器	Dolphin Browser	com.dolphin.browser.cn	/DolphinBrowserCN
		海豚浏览器国际版	Dolphin Browser HD	mobi.mgeek.TunnyBrowser	/TunnyBrowser
		海卓冲浪	HiSurfing	net.hidroid.hiapn.cn	/HiDroid_Net/HiAPN
		海卓懒人记账	海卓懒人记账	net.hidroid.hibalance	HiDroid_Net/HiBalance
		护卫角斗士	CastleGuard2	com.daveyounggames.CastleGuard2	/com.daveyounggames.CastleGuard2
		机锋市场	机锋市场	com.mappn.gfan	/gfan
		街机模拟器	Tiger Arcade	com.tiger.game.arcade2	/.ltiger/arcade
	金山	金山电池医生	金山电池医生	com.ijinshan.kbatterydoctor	kbatterydoctor
	金山	金山共享精灵	金山共享精灵	com.kismobile.webshare	/KISShare
数据包	金山	金山快盘	livespace	cn.wps.livespace	/.livespace
	金山	金山手机卫士	金山手机卫士	com.ijinshan.mguard	mosecurity
		劲手快拼	jinshouinput	com.jinshou.jsinputmethod	/jinshou
		精品便签本	Most It	com.mobiders.mostit	/mostit
电子书		开卷有益	KingReader	com.kingreader.framework	/KingReader
		开心网	Kaixin	com.kaixin001.activity	/kaixin001
		口袋微博	口袋微博	com.android307.MicroBlog	/TwitterForSina
音乐		酷狗音乐	酷狗音乐	com.kugou.android	kugou
		快手下载	快手下载	com.kandian.hdtogoapp	/kuaishou
数据包		快牙	zapya	com.dewmobile.kuaiya	zapya
		懒人听书	懒人听书	bubei.tingshu	/tingshu
数据包		老虎地图	老虎地图	com.tigerknows	/tigermap
		老虎机slot machine	Slotmachine	com.apostek.SlotMachine.paid	/Slotmachine
		乐淘	乐淘	com.letao.activity	letao2
		麦当劳优惠券	麦当劳优惠券	wenhr.Mcdonalds	/Mcdonalds
		美食达人	美食达人	com.yuelian.meishitai	/meishidaren
相片		美图秀秀	美图秀秀	com.mt.mtxx.mtxx	/MTXX
		迷人浏览器	Miren Browser	cn.miren.browser	/miren_browser
	小米	米聊	米聊	com.xiaomi.channel	miliao
电子书		蜜蜂读书	蜜蜂读书	com.szborqs.book	/.mobeeBook
		蜜蜂新闻	Mobee News	oms.mspaces	/.mreader
		名片全能王	名片全能王	com.intsig.BizCardReader	/bcr
		蘑菇新闻	MoreGood News	com.i9i8.nanopage	/.nanopage
		陌陌	陌陌	com.immomo.momo	immomo
		墨迹天气	墨迹天气	com.moji.mjweather	/moji
		木蚂蚁市场	木蚂蚁市场	com.mumayi.market.ui	/mumayi
